dataset,workload,strategy,ops_per_s,write_p50_us,write_p95_us,read_p50_us,read_p95_us,db_size_mb,db_size_delta_pct
ds_1k_realistic_1_25,wl_write_only,strategy_prefix_scan,,,,,,,baseline
ds_1k_realistic_1_25,wl_write_only,strategy_latest_cf,,,,,,,,
ds_1k_realistic_1_25,wl_write_heavy_90_10,strategy_prefix_scan,,,,,,,baseline
ds_1k_realistic_1_25,wl_write_heavy_90_10,strategy_latest_cf,,,,,,,,
ds_1k_realistic_1_25,wl_read_only_latest_hit,strategy_prefix_scan,,,,,,,baseline
ds_1k_realistic_1_25,wl_read_only_latest_hit,strategy_latest_cf,,,,,,,,
ds_1k_realistic_1_25,wl_read_only_latest_miss,strategy_prefix_scan,,,,,,,baseline
ds_1k_realistic_1_25,wl_read_only_latest_miss,strategy_latest_cf,,,,,,,,
ds_10k_realistic_1_25,wl_write_only,strategy_prefix_scan,,,,,,,baseline
ds_10k_realistic_1_25,wl_write_only,strategy_latest_cf,,,,,,,,
ds_10k_realistic_1_25,wl_write_heavy_90_10,strategy_prefix_scan,,,,,,,baseline
ds_10k_realistic_1_25,wl_write_heavy_90_10,strategy_latest_cf,,,,,,,,
ds_10k_realistic_1_25,wl_read_only_latest_hit,strategy_prefix_scan,,,,,,,baseline
ds_10k_realistic_1_25,wl_read_only_latest_hit,strategy_latest_cf,,,,,,,,
ds_10k_realistic_1_25,wl_read_only_latest_miss,strategy_prefix_scan,,,,,,,baseline
ds_10k_realistic_1_25,wl_read_only_latest_miss,strategy_latest_cf,,,,,,,,
ds_50k_realistic_1_25,wl_write_only,strategy_prefix_scan,,,,,,,baseline
ds_50k_realistic_1_25,wl_write_only,strategy_latest_cf,,,,,,,,
ds_50k_realistic_1_25,wl_write_heavy_90_10,strategy_prefix_scan,,,,,,,baseline
ds_50k_realistic_1_25,wl_write_heavy_90_10,strategy_latest_cf,,,,,,,,
ds_50k_realistic_1_25,wl_read_only_latest_hit,strategy_prefix_scan,,,,,,,baseline
ds_50k_realistic_1_25,wl_read_only_latest_hit,strategy_latest_cf,,,,,,,,
ds_50k_realistic_1_25,wl_read_only_latest_miss,strategy_prefix_scan,,,,,,,baseline
ds_50k_realistic_1_25,wl_read_only_latest_miss,strategy_latest_cf,,,,,,,,
